description;refEquipement;etapeacv;critere;consoElecMoyenne;valeur;source;type
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Climate change;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Resource use (minerals and metals);26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Acidification;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Ionising radiation;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;UTILISATION;Particulate matter and respiratory inorganics;26;;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Climate change;26;3.51;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Resource use (minerals and metals);26;0.0000110857905111763;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Acidification;26;0.0434;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Ionising radiation;26;0.271;Resilio;
Laptop - Entry-level	Latitude 3310 2-in-1 Business Laptop	13inch LCD, 8GB RAM, 256 GB SSD TLC  2,5'', 1 CPU Intel Core i3-1000G1, 1 integrated graphics card Intel UHD Graphics 630;ordinateur-portable-1;FIN_DE_VIE;Particulate matter and respiratory inorganics;26;0.000000177;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Climate change;34;253;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Resource use (minerals and metals);34;0.0849;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Acidification;34;1.85;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Ionising radiation;34;88.9;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;FABRICATION;Particulate matter and respiratory inorganics;34;0.0000119;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Climate change;34;11;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Resource use (minerals and metals);34;0.000000433;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Acidification;34;0.0559;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Ionising radiation;34;0.0297;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;DISTRIBUTION;Particulate matter and respiratory inorganics;34;0.000000332;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;UTILISATION;Climate change;34;;Resilio;
Laptop - High-End LENOVO-IDEA IdeaPad 1 15ALC7 15inch LCD, 16GB RAM, 1TB SSD TLC  2,5'', 1 CPU AMD Ryzen 5 5500U, 1 integrated graphics card Mobility Radeon 9000 IGP;ordinateur-portable-2;UTILISATION;Resource use (minerals and metals);34;;Resilio;
