type_equipement_id;equipement_id
Ordinateur portable;ordinateur-portable-1
Ordinateur portable;ordinateur-portable-2
Écran;ecran-1
Écran;ecran-2
Écran;ecran-3
Ordinateur fixe - sans écran;ordinateur-fixe-1
Serveur rack;serveur-rack-1
Baie de stockage;baie-stockage-1
Baie NAS;baie-nas-1
Commutateur réseau;commutateur-1
